date,address_count
7/30/2015,9203
7/31/2015,9359
8/1/2015,9474
8/2/2015,9561
8/3/2015,9637
8/4/2015,9694
8/5/2015,9747
8/6/2015,9788
8/7/2015,10259
8/8/2015,10607
8/9/2015,10846
8/10/2015,11101
8/11/2015,11374
8/12/2015,11677
8/13/2015,12152
8/14/2015,12669
8/15/2015,13022
8/16/2015,13293
8/17/2015,13541
8/18/2015,13797
8/19/2015,14050
8/20/2015,14229
8/21/2015,14468
8/22/2015,14693
8/23/2015,14982
8/24/2015,15135
8/25/2015,15339
8/26/2015,15498
8/27/2015,15679
8/28/2015,15814
8/29/2015,15910
8/30/2015,16072
8/31/2015,16189
9/1/2015,16329
9/2/2015,16453
9/3/2015,16559
9/4/2015,16662
9/5/2015,16765
9/6/2015,16852
9/7/2015,16999
9/8/2015,17083
9/9/2015,17224
9/10/2015,17306
9/11/2015,17466
9/12/2015,17558
9/13/2015,17723
9/14/2015,17839
9/15/2015,17974
9/16/2015,18080
9/17/2015,18169
9/18/2015,18274
9/19/2015,18338
9/20/2015,18419
9/21/2015,18473
9/22/2015,18527
9/23/2015,18628
9/24/2015,18714
9/25/2015,18778
9/26/2015,18831
9/27/2015,18877
9/28/2015,18964
9/29/2015,19032
9/30/2015,19097
10/1/2015,19140
10/2/2015,19199
10/3/2015,19301
10/4/2015,19375
10/5/2015,19458
10/6/2015,19532
10/7/2015,19603
10/8/2015,19652
10/9/2015,19712
10/10/2015,19753
10/11/2015,19784
10/12/2015,19838
10/13/2015,19986
10/14/2015,20156
10/15/2015,20329
10/16/2015,20383
10/17/2015,20427
10/18/2015,20528
10/19/2015,20713
10/20/2015,20764
10/21/2015,21004
10/22/2015,21088
10/23/2015,21162
10/24/2015,21506
10/25/2015,21679
10/26/2015,21946
10/27/2015,22057
10/28/2015,22165
10/29/2015,22381
10/30/2015,22844
10/31/2015,23180
11/1/2015,23672
11/2/2015,23929
11/3/2015,24231
11/4/2015,24459
11/5/2015,24609
11/6/2015,24715
11/7/2015,25115
11/8/2015,25680
11/9/2015,25924
11/10/2015,26011
11/11/2015,26140
11/12/2015,26215
11/13/2015,26330
11/14/2015,26396
11/15/2015,26457
11/16/2015,26543
11/17/2015,26640
11/18/2015,26709
11/19/2015,26788
11/20/2015,26894
11/21/2015,26955
11/22/2015,27380
11/23/2015,27471
11/24/2015,27644
11/25/2015,27719
11/26/2015,27868
11/27/2015,27927
11/28/2015,27975
11/29/2015,28028
11/30/2015,28124
12/1/2015,28197
12/2/2015,28268
12/3/2015,28336
12/4/2015,28446
12/5/2015,28534
12/6/2015,28627
12/7/2015,28590
12/8/2015,28648
12/9/2015,28717
12/10/2015,28808
12/11/2015,28874
12/12/2015,29259
12/13/2015,29362
12/14/2015,29461
12/15/2015,29536
12/16/2015,29617
12/17/2015,29872
12/18/2015,30045
12/19/2015,30120
12/20/2015,30240
12/21/2015,30361
12/22/2015,30463
12/23/2015,30521
12/24/2015,30605
12/25/2015,30687
12/26/2015,30773
12/27/2015,30901
12/28/2015,31005
12/29/2015,31074
12/30/2015,31176
12/31/2015,31322
1/1/2016,31411
1/2/2016,31528
1/3/2016,31654
1/4/2016,31774
1/5/2016,31888
1/6/2016,32068
1/7/2016,32229
1/8/2016,32383
1/9/2016,32591
1/10/2016,32759
1/11/2016,32976
1/12/2016,33228
1/13/2016,33396
1/14/2016,33561
1/15/2016,33878
1/16/2016,34100
1/17/2016,34351
1/18/2016,34699
1/19/2016,34945
1/20/2016,35190
1/21/2016,35485
1/22/2016,35776
1/23/2016,36257
1/24/2016,36867
1/25/2016,37511
1/26/2016,38286
1/27/2016,38921
1/28/2016,39808
1/29/2016,40633
1/30/2016,41521
1/31/2016,42272
2/1/2016,42801
2/2/2016,43307
2/3/2016,43898
2/4/2016,44378
2/5/2016,45074
2/6/2016,45533
2/7/2016,45981
2/8/2016,46465
2/9/2016,47101
2/10/2016,48180
2/11/2016,50039
2/12/2016,51342
2/13/2016,52581
2/14/2016,53565
2/15/2016,54419
2/16/2016,55183
2/17/2016,56021
2/18/2016,56659
2/19/2016,57312
2/20/2016,57855
2/21/2016,59384
2/22/2016,60127
2/23/2016,60966
2/24/2016,61657
2/25/2016,62468
2/26/2016,63091
2/27/2016,63744
2/28/2016,64939
2/29/2016,66513
3/1/2016,68167
3/2/2016,70084
3/3/2016,72108
3/4/2016,74233
3/5/2016,76983
3/6/2016,79592
3/7/2016,81163
3/8/2016,83232
3/9/2016,85349
3/10/2016,87492
3/11/2016,88388
3/12/2016,89543
3/13/2016,90798
3/14/2016,92207
3/15/2016,93414
3/16/2016,94491
3/17/2016,95555
3/18/2016,96437
3/19/2016,97205
3/20/2016,98069
3/21/2016,98770
3/22/2016,99559
3/23/2016,100428
3/24/2016,101258
3/25/2016,102049
3/26/2016,102814
3/27/2016,103470
3/28/2016,104513
3/29/2016,105627
3/30/2016,106966
3/31/2016,107794
4/1/2016,108493
4/2/2016,109289
4/3/2016,110047
4/4/2016,110769
4/5/2016,111546
4/6/2016,112220
4/7/2016,112911
4/8/2016,113446
4/9/2016,113853
4/10/2016,114503
4/11/2016,115112
4/12/2016,115866
4/13/2016,116423
4/14/2016,116847
4/15/2016,117424
4/16/2016,117989
4/17/2016,118562
4/18/2016,119150
4/19/2016,119649
4/20/2016,120164
4/21/2016,120861
4/22/2016,121440
4/23/2016,121914
4/24/2016,122417
4/25/2016,123000
4/26/2016,123575
4/27/2016,124175
4/28/2016,124736
4/29/2016,125302
4/30/2016,126528
5/1/2016,127406
5/2/2016,130483
5/3/2016,131090
5/4/2016,132231
5/5/2016,133203
5/6/2016,134082
5/7/2016,134863
5/8/2016,135964
5/9/2016,137081
5/10/2016,137933
5/11/2016,139606
5/12/2016,141993
5/13/2016,143335
5/14/2016,144822
5/15/2016,146856
5/16/2016,147557
5/17/2016,149061
5/18/2016,152905
5/19/2016,155673
5/20/2016,159810
5/21/2016,161770
5/22/2016,163181
5/23/2016,164550
5/24/2016,165866
5/25/2016,168080
5/26/2016,169819
5/27/2016,172464
5/28/2016,178438
5/29/2016,180367
5/30/2016,181739
5/31/2016,183209
6/1/2016,184804
6/2/2016,185991
6/3/2016,187218
6/4/2016,188346
6/5/2016,189383
6/6/2016,190503
6/7/2016,195990
6/8/2016,197219
6/9/2016,198486
6/10/2016,199524
6/11/2016,200713
6/12/2016,201875
6/13/2016,203616
6/14/2016,205648
6/15/2016,207314
6/16/2016,208913
6/17/2016,214827
6/18/2016,217946
6/19/2016,220199
6/20/2016,221781
6/21/2016,223422
6/22/2016,224877
6/23/2016,226126
6/24/2016,227159
6/25/2016,227953
6/26/2016,231128
6/27/2016,232118
6/28/2016,233275
6/29/2016,234400
6/30/2016,235288
7/1/2016,236343
7/2/2016,237666
7/3/2016,239006
7/4/2016,240341
7/5/2016,242020
7/6/2016,243445
7/7/2016,244920
7/8/2016,246376
7/9/2016,247957
7/10/2016,249372
7/11/2016,250771
7/12/2016,252334
7/13/2016,253438
7/14/2016,254897
7/15/2016,256185
7/16/2016,257403
7/17/2016,257998
7/18/2016,259306
7/19/2016,250201
7/20/2016,251941
7/21/2016,253142
7/22/2016,254299
7/23/2016,255996
7/24/2016,257973
7/25/2016,260209
7/26/2016,261319
7/27/2016,261639
7/28/2016,263622
7/29/2016,267380
7/30/2016,268677
7/31/2016,270152
8/1/2016,272575
8/2/2016,275488
8/3/2016,278214
8/4/2016,280394
8/5/2016,282189
8/6/2016,283527
8/7/2016,284716
8/8/2016,286043
8/9/2016,288592
8/10/2016,290469
8/11/2016,292420
8/12/2016,293874
8/13/2016,295116
8/14/2016,296486
8/15/2016,297843
8/16/2016,298840
8/17/2016,300042
8/18/2016,301470
8/19/2016,302812
8/20/2016,304059
8/21/2016,305518
8/22/2016,306690
8/23/2016,308354
8/24/2016,309764
8/25/2016,311224
8/26/2016,312883
8/27/2016,313999
8/28/2016,315253
8/29/2016,316642
8/30/2016,318059
8/31/2016,319644
9/1/2016,321271
9/2/2016,322924
9/3/2016,324307
9/4/2016,325692
9/5/2016,326830
9/6/2016,328230
9/7/2016,329455
9/8/2016,331241
9/9/2016,332676
9/10/2016,334095
9/11/2016,335468
9/12/2016,336892
9/13/2016,338424
9/14/2016,339825
9/15/2016,341288
9/16/2016,342441
9/17/2016,343790
9/18/2016,345002
9/19/2016,346764
9/20/2016,347790
9/21/2016,349923
9/22/2016,351394
9/23/2016,352785
9/24/2016,353906
9/25/2016,355467
9/26/2016,357035
9/27/2016,358534
9/28/2016,359889
9/29/2016,363129
9/30/2016,364374
10/1/2016,366094
10/2/2016,367667
10/3/2016,369057
10/4/2016,386467
10/5/2016,388017
10/6/2016,389376
10/7/2016,391498
10/8/2016,393344
10/9/2016,395114
10/10/2016,397545
10/11/2016,398714
10/12/2016,399816
10/13/2016,400581
10/14/2016,401588
10/15/2016,402654
10/16/2016,403956
10/17/2016,405171
10/18/2016,406490
10/19/2016,407692
10/20/2016,409069
10/21/2016,410775
10/22/2016,412001
10/23/2016,413046
10/24/2016,414301
10/25/2016,416095
10/26/2016,417411
10/27/2016,418709
10/28/2016,420217
10/29/2016,421512
10/30/2016,422702
10/31/2016,424063
11/1/2016,423171
11/2/2016,427730
11/3/2016,427776
11/4/2016,428724
11/5/2016,429895
11/6/2016,430924
11/7/2016,431718
11/8/2016,433342
11/9/2016,435275
11/10/2016,436517
11/11/2016,438111
11/12/2016,439569
11/13/2016,441380
11/14/2016,442601
11/15/2016,444191
11/16/2016,445489
11/17/2016,446588
11/18/2016,448035
11/19/2016,449175
11/20/2016,450401
11/21/2016,451647
11/22/2016,439875
11/23/2016,418264
11/24/2016,419810
11/25/2016,416446
11/26/2016,417238
11/27/2016,418368
11/28/2016,419259
11/29/2016,420179
11/30/2016,421241
12/1/2016,421913
12/2/2016,423469
12/3/2016,425213
12/4/2016,427288
12/5/2016,429721
12/6/2016,430922
12/7/2016,431912
12/8/2016,432750
12/9/2016,432458
12/10/2016,433878
12/11/2016,434595
12/12/2016,435210
12/13/2016,436008
12/14/2016,436869
12/15/2016,437761
12/16/2016,438612
12/17/2016,439420
12/18/2016,440049
12/19/2016,440862
12/20/2016,442275
12/21/2016,443267
12/22/2016,450619
12/23/2016,453739
12/24/2016,454534
12/25/2016,455247
12/26/2016,456005
12/27/2016,456649
12/28/2016,457421
12/29/2016,458646
12/30/2016,459906
12/31/2016,460510
1/1/2017,461171
1/2/2017,462029
1/3/2017,463272
1/4/2017,465070
1/5/2017,466650
1/6/2017,467821
1/7/2017,468959
1/8/2017,470072
1/9/2017,471304
1/10/2017,472461
1/11/2017,473640
1/12/2017,474685
1/13/2017,475803
1/14/2017,477128
1/15/2017,478541
1/16/2017,480048
1/17/2017,481648
1/18/2017,483116
1/19/2017,484606
1/20/2017,485988
1/21/2017,487473
1/22/2017,489223
1/23/2017,490734
1/24/2017,492155
1/25/2017,493701
1/26/2017,495217
1/27/2017,496525
1/28/2017,497762
1/29/2017,498994
1/30/2017,500126
1/31/2017,500817
2/1/2017,501705
2/2/2017,502598
2/3/2017,503425
2/4/2017,504301
2/5/2017,505156
2/6/2017,506038
2/7/2017,506960
2/8/2017,508024
2/9/2017,508941
2/10/2017,509940
2/11/2017,510703
2/12/2017,511689
2/13/2017,512756
2/14/2017,513968
2/15/2017,515228
2/16/2017,516214
2/17/2017,516763
2/18/2017,517865
2/19/2017,518696
2/20/2017,520116
2/21/2017,521006
2/22/2017,521901
2/23/2017,523061
2/24/2017,523778
2/25/2017,525137
2/26/2017,526570
2/27/2017,528474
2/28/2017,530733
3/1/2017,533231
3/2/2017,536172
3/3/2017,539378
3/4/2017,541514
3/5/2017,543539
3/6/2017,545582
3/7/2017,547754
3/8/2017,550075
3/9/2017,552600
3/10/2017,554777
3/11/2017,557418
3/12/2017,560061
3/13/2017,565360
3/14/2017,569715
3/15/2017,574608
3/16/2017,582473
3/17/2017,591935
3/18/2017,599089
3/19/2017,603935
3/20/2017,609153
3/21/2017,615184
3/22/2017,619587
3/23/2017,623801
3/24/2017,629267
3/25/2017,634535
3/26/2017,639001
3/27/2017,644435
3/28/2017,649909
3/29/2017,654857
3/30/2017,661216
3/31/2017,667467
4/1/2017,671997
4/2/2017,677722
4/3/2017,684640
4/4/2017,690297
4/5/2017,695757
4/6/2017,701667
4/7/2017,705540
4/8/2017,709505
4/9/2017,712045
4/10/2017,716246
4/11/2017,719395
4/12/2017,723363
4/13/2017,728105
4/14/2017,731474
4/15/2017,735713
4/16/2017,738833
4/17/2017,742397
4/18/2017,746745
4/19/2017,751874
4/20/2017,756147
4/21/2017,759427
4/22/2017,763339
4/23/2017,766411
4/24/2017,772762
4/25/2017,776958
4/26/2017,788420
4/27/2017,793906
4/28/2017,801363
4/29/2017,807217
4/30/2017,814424
5/1/2017,821952
5/2/2017,829213
5/3/2017,835091
5/4/2017,844429
5/5/2017,851455
5/6/2017,859988
5/7/2017,868360
5/8/2017,878818
5/9/2017,888865
5/10/2017,899655
5/11/2017,909095
5/12/2017,917503
5/13/2017,926459
5/14/2017,934848
5/15/2017,945788
5/16/2017,956736
5/17/2017,969915
5/18/2017,981088
5/19/2017,997889
5/20/2017,1011947
5/21/2017,1025865
5/22/2017,1044503
5/23/2017,1070150
5/24/2017,1090226
5/25/2017,1110709
5/26/2017,1127243
5/27/2017,1140860
5/28/2017,1153651
5/29/2017,1170363
5/30/2017,1189067
5/31/2017,1214867
6/1/2017,1230785
6/2/2017,1248792
6/3/2017,1266921
6/4/2017,1280712
6/5/2017,1301648
6/6/2017,1322482
6/7/2017,1343706
6/8/2017,1362517
6/9/2017,1383602
6/10/2017,1405923
6/11/2017,1434213
6/12/2017,1463748
6/13/2017,1494933
6/14/2017,1524671
6/15/2017,1552507
6/16/2017,1575777
6/17/2017,1598696
6/18/2017,1623286
6/19/2017,1655059
6/20/2017,1692237
6/21/2017,1709684
6/22/2017,1739283
6/23/2017,1769773
6/24/2017,1800281
6/25/2017,1827113
6/26/2017,1855779
6/27/2017,1879399
6/28/2017,1906698
6/29/2017,1932359
6/30/2017,1953303
7/1/2017,1970893
7/2/2017,1988366
7/3/2017,2017795
7/4/2017,2046278
7/5/2017,2068849
7/6/2017,2089422
7/7/2017,2106047
7/8/2017,2123584
7/9/2017,2141333
7/10/2017,2160724
7/11/2017,2185624
7/12/2017,2208022
7/13/2017,2230805
7/14/2017,2247951
7/15/2017,2262137
7/16/2017,2277381
7/17/2017,2294659
7/18/2017,2312761
7/19/2017,2331989
7/20/2017,2349713
7/21/2017,2365602
7/22/2017,2379798
7/23/2017,2387472
7/24/2017,2404503
7/25/2017,2422910
7/26/2017,2439553
7/27/2017,2454100
7/28/2017,2467457
7/29/2017,2481924
7/30/2017,2514228
7/31/2017,2531820
8/1/2017,2548704
8/2/2017,2563960
8/3/2017,2583278
8/4/2017,2605668
8/5/2017,2624387
8/6/2017,2640033
8/7/2017,2662768
8/8/2017,2688126
8/9/2017,2708702
8/10/2017,2739187
8/11/2017,2770048
8/12/2017,2790544
8/13/2017,2814112
8/14/2017,2844701
8/15/2017,2871460
8/16/2017,2898672
8/17/2017,2929005
8/18/2017,2962329
8/19/2017,2985401
8/20/2017,3004281
8/21/2017,3029379
8/22/2017,3063396
8/23/2017,3091009
8/24/2017,3121946
8/25/2017,3152197
8/26/2017,3174880
8/27/2017,3199136
8/28/2017,3225912
8/29/2017,3256223
8/30/2017,3289836
8/31/2017,3319267
9/1/2017,3349931
9/2/2017,3371704
9/3/2017,3393644
9/4/2017,3413666
9/5/2017,3440489
9/6/2017,3476930
9/7/2017,3507996
9/8/2017,3535730
9/9/2017,3566273
9/10/2017,3588936
9/11/2017,3611988
9/12/2017,3641978
9/13/2017,3659339
9/14/2017,3670160
9/15/2017,3703217
9/16/2017,3722640
9/17/2017,3736873
9/18/2017,3744262
9/19/2017,3778007
9/20/2017,3799224
9/21/2017,3820918
9/22/2017,3838076
9/23/2017,3855906
9/24/2017,3872225
9/25/2017,3888601
9/26/2017,3907999
9/27/2017,3928404
9/28/2017,3949161
9/29/2017,3953006
9/30/2017,3968490
10/1/2017,3985969
10/2/2017,4009117
10/3/2017,4030476
10/4/2017,4050171
10/5/2017,4069229
10/6/2017,4089683
10/7/2017,4107033
10/8/2017,4126441
10/9/2017,4148660
10/10/2017,4176369
10/11/2017,4194562
10/12/2017,4214116
10/13/2017,4240850
10/14/2017,4262423
10/15/2017,4282296
10/16/2017,4303009
10/17/2017,4328612
10/18/2017,4342755
10/19/2017,4368236
10/20/2017,4390658
10/21/2017,4419717
10/22/2017,4428966
10/23/2017,4449647
10/24/2017,4473316
10/25/2017,4496707
10/26/2017,4521867
10/27/2017,4545969
10/28/2017,4567377
10/29/2017,4589998
10/30/2017,4617059
10/31/2017,4648723
11/1/2017,4679341
11/2/2017,4721625
11/3/2017,4756174
11/4/2017,4779384
11/5/2017,4802141
11/6/2017,4834164
11/7/2017,4857786
11/8/2017,4888452
11/9/2017,4921987
11/10/2017,4962594
11/11/2017,4987952
11/12/2017,5022067
11/13/2017,5054233
11/14/2017,5089756
11/15/2017,5134649
11/16/2017,5171528
11/17/2017,5204129
11/18/2017,5236429
11/19/2017,5264362
11/20/2017,5292109
11/21/2017,5328726
11/22/2017,5370010
11/23/2017,5408515
11/24/2017,5448897
11/25/2017,5486796
11/26/2017,5529088
11/27/2017,5584255
11/28/2017,5640763
11/29/2017,5704204
11/30/2017,5757075
12/1/2017,5808223
12/2/2017,5852179
12/3/2017,5904856
12/4/2017,5960849
12/5/2017,6015317
12/6/2017,6101235
12/7/2017,6162129
12/8/2017,6227531
12/9/2017,6284651
12/10/2017,6329438
12/11/2017,6378975
12/12/2017,6440151
12/13/2017,6514155
12/14/2017,6589530
12/15/2017,6663219
12/16/2017,6722991
12/17/2017,6788569
12/18/2017,6869288
12/19/2017,6961106
12/20/2017,7038482
12/21/2017,7130677
12/22/2017,7211813
